differential,release_year,genre,type,weeks_on_billboard,peak_billboard_position,spotify_popularity,artist_member_count,artist_gender,artist_birth_year_sum,debut_album_release_year,ave_age_at_top_500,years_between
-58,1967,Blues/Blues Rock,Studio,83,4,55,3,Male,5827,1966,24.66666667,1
-140,1967,Punk/Post-Punk/New Wave/Power Pop,Studio,10,154,47,5,Male,9725,1966,22,1
94,1967,Punk/Post-Punk/New Wave/Power Pop,Studio,11,131,47,4,Male,7776,1967,23,0
-203,1967,Punk/Post-Punk/New Wave/Power Pop,Studio,23,48,29,4,Male,7779,1965,22.25,2
-36,1967,Country/Folk/Country Rock/Folk Rock,Studio,52,2,50,1,Male,1941,1962,26,5
-190,1967,Punk/Post-Punk/New Wave/Power Pop,Studio,2,153,13,4,Male,7778,1964,22.5,3
-380,1967,Punk/Post-Punk/New Wave/Power Pop,Studio,27,24,32,5,Male,9717,1967,23.6,0
-377,1967,Punk/Post-Punk/New Wave/Power Pop,Studio,24,24,45,4,Male,7773,1965,23.75,2
452,1998,Hip-Hop/Rap,Studio,43,2,65,2,Male,3950,1994,23,4
-313,1967,Punk/Post-Punk/New Wave/Power Pop,Studio,14,44,53,5,Male,9720,1966,23,1
-303,1967,Blues/Blues Rock,Greatest Hits,64.27097902097903,201,10,1,Male,1930,1947,37,20
-146,1967,Blues/Blues Rock,Studio,47,2,56,5,Male,9705,1964,26,3
-94,1967,Blues/Blues Rock,Studio,61,3,69,4,Male,7772,1967,24,0
-27,1967,Soul/Gospel/R&B,Live,42,32,17,1,Male,1941,1964,26,3
-17,1967,Country/Folk/Country Rock/Folk Rock,Studio,4,167,19,1,Male,1937,1965,30,2
-2,1967,Blues/Blues Rock,Compilation,64.27097902097903,201,43,1,Male,1923,1962,44,5
-323,1967,Punk/Post-Punk/New Wave/Power Pop,Greatest Hits,29,6,29,5,Male,9717,1965,23.6,2
-10,1967,Punk/Post-Punk/New Wave/Power Pop,Studio,13,171,65,5,Male/Female,9708,1967,25.4,0
-325,1967,Punk/Post-Punk/New Wave/Power Pop,Studio,56,3,70,6,Male/Female,11644,1966,26.33333333,1
9,1968,Soul/Gospel/R&B,Studio,52,2,63,1,Female,1942,1961,26,7
-19,1968,Punk/Post-Punk/New Wave/Power Pop,Studio,55,1,76,4,Male,7765,1963,26.75,5
1,1968,Blues/Blues Rock,Studio,1,40,69,3,Male,5833,1967,23.66666667,1
-41,1968,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,52,1,Male,1945,1967,23,1
-66,1968,Country/Folk/Country Rock/Folk Rock,Studio,40,30,62,5,Male,9706,1968,26.8,0
-76,1968,Country/Folk/Country Rock/Folk Rock,Live,81,13,60,1,Male,1932,1957,36,11
-128,1968,Blues/Blues Rock,Studio,26,5,67,5,Male,9705,1964,27,4
-163,1968,Punk/Post-Punk/New Wave/Power Pop,Studio,95,13,66,5,Male,9724,1965,23.2,3
-157,1968,Punk/Post-Punk/New Wave/Power Pop,Studio,10,77,47,4,Male,7775,1965,24.25,3
-213,1968,Blues/Blues Rock,Studio,64.27097902097903,201,38,1,Male,1941,1968,27,0
427,2004,Hip-Hop/Rap,Studio,74,2,79,1,Male,1977,2004,27,0
-129,1968,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,47,4,Male,7778,1964,23.5,4
-340,1968,Soul/Gospel/R&B,Compilation,42,4,51,1,Male,1941,1964,27,4
-330,1968,Punk/Post-Punk/New Wave/Power Pop,Studio,19,47,45,5,Male,9717,1965,24.6,3
422,2016,Soul/Gospel/R&B,Studio,354,1,86,1,Male,1987,2012,29,4
-298,1968,Blues/Blues Rock,Studio,50,1,62,3,Male,5827,1966,25.66666667,2
-268,1968,Country/Folk/Country Rock/Folk Rock,Studio,66,1,68,2,Male,3882,1964,27,4
-237,1968,Punk/Post-Punk/New Wave/Power Pop,Studio,55,47,39,8,Male,15557,1968,23.375,0
-214,1968,Blues/Blues Rock,Studio,17,87,23,6,Male,11663,1967,24.16666667,1
-205,1968,Punk/Post-Punk/New Wave/Power Pop,Studio,19,30,41,8,Male,15509,1966,29.375,2
